Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;33;Del Giro;77514499-8;ARRIENDOS DE INMUEBLES SALVADOR RAMIREZ SPA;55;28/01/2025;28/01/2025 22:20:33;;0;750000;142500;;;892500;;;;;0;;;;0;;;;
2;33;Del Giro;78875760-3;COMBUSTIBLES ARICA LIMITADA;538046;03/02/2025;03/02/2025 08:48:51;;0;62964;11963;;;77212;;;;;0;;;;0;28;2285;0;
3;33;Del Giro;76111453-0;GO CAPITAL SPA;25800;31/01/2025;03/02/2025 14:01:30;;0;50000;9500;;;59500;;;;;0;;;;0;;;;
4;33;Del Giro;76185341-4;ILP DESIGN S.P.A.;3789;03/02/2025;03/02/2025 19:14:36;;0;86500;16435;;;102935;;;;;0;;;;0;;;;
5;33;Del Giro;76468732-9;ASESORIAS AUDITORIAS E INVERSIONES CERTILAP CHILE S.A.;10478;04/02/2025;04/02/2025 12:14:32;;0;2100;399;;;2499;;;;;0;;;;0;;;;
6;33;Del Giro;76468732-9;ASESORIAS AUDITORIAS E INVERSIONES CERTILAP CHILE S.A.;10485;04/02/2025;04/02/2025 12:32:19;;0;2800;532;;;3332;;;;;0;;;;0;;;;
7;33;Del Giro;76183140-2;Comercial Lagos e Hijos Ltda.;33581;04/02/2025;04/02/2025 14:19:26;;0;478630;90940;;;569570;;;;;0;;;;0;;;;
8;33;Del Giro;9450111-3;JACHURA RIVAS FERNANDO DANIEL;196959;04/02/2025;04/02/2025 16:40:08;;0;45887;8718;;;56270;;;;;0;;;;0;28;1665;0;
9;33;Del Giro;76242907-1;Torino SPA;46749;04/02/2025;04/02/2025 18:27:32;;0;61030;11596;;;72626;;;;;0;;;;0;;;;
10;33;Del Giro;76662210-0;COMERCIAL PAIHUEN LIMITADA;303240;05/02/2025;05/02/2025 11:46:51;;0;45325;8612;;;55720;;;;;0;;;;0;28;1783;0;
11;33;Del Giro;99510910-7;SEGURYCEL S.A;1796880;05/02/2025;05/02/2025 12:34:09;;0;16572;3149;;;19721;;;;;0;;;;0;;;;
12;33;Del Giro;77676860-K;MANUFACTURAS RAC LIMITADA;205857;05/02/2025;05/02/2025 13:21:26;;0;37950;7211;;;45161;;;;;0;;;;0;;;;
13;33;Del Giro;77331150-1;MANUEL RENGIFO Y COMPANIA LIMITADA;77985;05/02/2025;05/02/2025 20:46:39;;0;23542;4473;;;40000;;;;11985;0;;;;0;35;11985;0;
14;33;Del Giro;76183140-2;Comercial Lagos e Hijos Ltda.;33612;06/02/2025;06/02/2025 13:00:07;;0;36500;6935;;;43435;;;;;0;;;;0;;;;
15;33;Del Giro;77814304-6;Comercializadora Santa Adriana Spa;631;06/02/2025;06/02/2025 21:14:01;;0;468200;88958;;;557158;;;;;0;;;;0;;;;
16;33;Del Giro;78598190-1;VICTOR HUGO CORTES BRAVO Y CIA LTD;582711;07/02/2025;07/02/2025 08:28:19;;0;31782;6039;;;40317;;;;;0;;;;0;28;2496;0;
17;33;Del Giro;76858220-3;CERTIF DE CUMPLIM DE OBLIGACIONES LABORALES Y PREVIS CHILE S.A.;37483;07/02/2025;07/02/2025 09:02:41;;0;5625;1069;;;6694;;;;;0;;;;0;;;;
18;33;Del Giro;9450111-3;JACHURA RIVAS FERNANDO DANIEL;197098;07/02/2025;07/02/2025 10:30:08;;0;31534;5992;;;40000;;;;;0;;;;0;28;2474;0;
19;33;Del Giro;78371880-4;BARRACA DE FIERRO PANTOJA LTDA;10316;07/02/2025;07/02/2025 16:51:21;;0;35630;6770;;;42400;;;;;0;;;;0;;;;
20;33;Del Giro;78875760-3;COMBUSTIBLES ARICA LIMITADA;538985;09/02/2025;09/02/2025 18:41:20;;0;31534;5992;;;40000;;;;;0;;;;0;28;2474;0;
21;33;Del Giro;96542490-3;TRECK S A;2591706;10/02/2025;10/02/2025 10:11:05;;0;51830;9848;;;61678;;;;;0;;;;0;;;;
22;33;Del Giro;76185341-4;ILP DESIGN S.P.A.;3800;10/02/2025;10/02/2025 16:38:32;;0;77000;14630;;;91630;;;;;0;;;;0;;;;
23;33;Del Giro;76254345-1;SOCIEDAD COMERCIAL EKMA OIL Y  CIA. LTDA.;202681;10/02/2025;10/02/2025 20:28:58;;0;23510;4467;;;30000;;;;;0;;;;0;28;2023;0;
